r#,cosine,,,C1 function,,,normal dist,,
-,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3
r0,1.0746632815031882,1.1165537922305082,9.303321745972019,10.368506461509295,-0.006542845866763091,7.297768234464208,-1.0588014993523576,-0.505204892843346,7.885223019822959
r1,2.6655631693897655,1.6353333132146368,6.468468396111924,-11.014151269667556,-2.65205815091544,0.0,1.2989407763590728,0.5358271401130228,6.065359379241595
r2,-0.6852692321967576,-0.8786848669091732,6.10376690018965,-0.0908108554383297,-0.3881633744335059,1.8858167679034064,1.3021903130624888,1.254584976486927,6.0252502513584325
r3,0.8299187309035285,0.4658489672379256,6.025257709191453,0.5783033807019742,0.42636332446299613,1.6765789480419753,1.1940818983717014,1.2063034292747434,6.006520333389542
r4,1.0091307413913202,0.9403558998179993,6.00629006473026,0.8096637067254674,0.7437136273775737,6.568318085527876,1.1088060069679562,1.1217757975024907,6.002379387722941
r5,1.0277279095606373,1.0164018671403492,6.002579584571095,0.9089299038360584,0.8786438691445999,0.5715179664672949,1.057523578637239,1.0652722534330927,6.1254134704833145
r6,1.0198832215034912,1.0199702785840137,5.99760718692068,0.9556125497043536,0.9411391884269422,7.297768121546042,1.0295690548243592,1.0336906763615152,4.0
r7,1.011494196772174,1.0130077574199434,1.1375035237499351,0.97807111065503,0.97093649484557,1.2596385139473344e-07,1.0149900926252684,1.0171033403134984,0.0
r8,1.0061425823227446,1.007273333849829,1.9068905956085187,0.9890986311478627,0.9855608724775979,1.8858192617280227,1.0075469310662262,1.0086154397971594,-1.0
